Assault	187	June	2008	6/30/2008
Burglary	393	June	2008	6/30/2008
Larceny	871	June	2008	6/30/2008
Motor Vehicle Theft	172	June	2008	6/30/2008
Homicide	5	July	2008	7/31/2008
Rape	19	July	2008	7/31/2008
Robbery	126	July	2008	7/31/2008
Assault	218	July	2008	7/31/2008
Burglary	378	July	2008	7/31/2008
Larceny	1063	July	2008	7/31/2008
Motor Vehicle Theft	186	July	2008	7/31/2008
Homicide	5	August	2008	8/31/2008
Rape	15	August	2008	8/31/2008
Robbery	159	August	2008	8/31/2008
Assault	202	August	2008	8/31/2008
Burglary	425	August	2008	8/31/2008
Larceny	962	August	2008	8/31/2008
Motor Vehicle Theft	205	August	2008	8/31/2008
Homicide	4	September	2008	9/30/2008
Rape	14	September	2008	9/30/2008
Robbery	130	September	2008	9/30/2008
Assault	154	September	2008	9/30/2008
Burglary	463	September	2008	9/30/2008
Larceny	769	September	2008	9/30/2008
Motor Vehicle Theft	150	September	2008	9/30/2008
Homicide	0	October	2008	10/31/2008
Rape	18	October	2008	10/31/2008
Robbery	167	October	2008	10/31/2008
Assault	169	October	2008	10/31/2008
Burglary	339	October	2008	10/31/2008
Larceny	808	October	2008	10/31/2008
Motor Vehicle Theft	117	October	2008	10/31/2008
Homicide	2	November	2008	11/30/2008
Rape	17	November	2008	11/30/2008
Robbery	109	November	2008	11/30/2008
Assault	175	November	2008	11/30/2008
Burglary	326	November	2008	11/30/2008
Larceny	683	November	2008	11/30/2008
Motor Vehicle Theft	107	November	2008	11/30/2008
Homicide	3	December	2008	12/31/2008
Rape	8	December	2008	12/31/2008
Robbery	127	December	2008	12/31/2008
Assault	118	December	2008	12/31/2008
Burglary	287	December	2008	12/31/2008
Larceny	607	December	2008	12/31/2008
Motor Vehicle Theft	126	December	2008	12/31/2008
Homicide	4	January	2009	1/31/2009
Rape	10	January	2009	1/31/2009
Robbery	115	January	2009	1/31/2009
Assault	137	January	2009	1/31/2009
Burglary	306	January	2009	1/31/2009
Larceny	575	January	2009	1/31/2009
Motor Vehicle Theft	133	January	2009	1/31/2009
Homicide	3	February	2009	2/28/2009
Rape	7	February	2009	2/28/2009
Robbery	96	February	2009	2/28/2009
Assault	112	February	2009	2/28/2009
Burglary	229	February	2009	2/28/2009
Larceny	539	February	2009	2/28/2009
Motor Vehicle Theft	103	February	2009	2/28/2009
Homicide	3	March	2009	3/31/2009
Rape	10	March	2009	3/31/2009
Robbery	106	March	2009	3/31/2009
Assault	152	March	2009	3/31/2009
Burglary	247	March	2009	3/31/2009
Larceny	654	March	2009	3/31/2009
Motor Vehicle Theft	150	March	2009	3/31/2009
Homicide	5	April	2009	4/30/2009
Rape	12	April	2009	4/30/2009
Robbery	145	April	2009	4/30/2009
Assault	172	April	2009	4/30/2009
Burglary	322	April	2009	4/30/2009
Larceny	712	April	2009	4/30/2009
Motor Vehicle Theft	130	April	2009	4/30/2009
Homicide	4	May	2009	5/31/2009
Rape	25	May	2009	5/31/2009
Robbery	137	May	2009	5/31/2009
Assault	209	May	2009	5/31/2009
Burglary	376	May	2009	5/31/2009
Larceny	815	May	2009	5/31/2009
Motor Vehicle Theft	131	May	2009	5/31/2009
Homicide	4	June	2009	6/30/2009
Rape	9	June	2009	6/30/2009
Robbery	128	June	2009	6/30/2009
Assault	191	June	2009	6/30/2009
Burglary	356	June	2009	6/30/2009
Larceny	771	June	2009	6/30/2009
Motor Vehicle Theft	124	June	2009	6/30/2009
Homicide	8	July	2009	7/31/2009
Rape	13	July	2009	7/31/2009
Robbery	133	July	2009	7/31/2009
Assault	211	July	2009	7/31/2009
Burglary	339	July	2009	7/31/2009
Larceny	834	July	2009	7/31/2009
Motor Vehicle Theft	143	July	2009	7/31/2009
Homicide	11	August	2009	8/31/2009
Rape	16	August	2009	8/31/2009
Robbery	154	August	2009	8/31/2009
Assault	197	August	2009	8/31/2009
Burglary	355	August	2009	8/31/2009
Larceny	950	August	2009	8/31/2009
Motor Vehicle Theft	151	August	2009	8/31/2009
Homicide	2	September	2009	9/30/2009
Rape	8	September	2009	9/30/2009
